,company,href
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/seven-important-triggers-that-changed-your-market-while-you-were-sleeping/articleshow/54687759.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/threat-of-hard-brexit-pulls-down-wall-street/articleshow/54687635.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/tech-view-nifty50-forms-a-bearish-candle-all-is-not-well-with-the-bulls/articleshow/54717428.cms
0,AX,http://economictimes.indiatimes.com/markets/stocks/news/mapping-the-market-ioc-ruchi-soya-soar-while-yes-bank-axis-bank-saw-most-action/articleshow/54717314.cms
0,YB,http://economictimes.indiatimes.com/markets/stocks/news/mapping-the-market-ioc-ruchi-soya-soar-while-yes-bank-axis-bank-saw-most-action/articleshow/54717314.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/mapping-the-market-ioc-ruchi-soya-soar-while-yes-bank-axis-bank-saw-most-action/articleshow/54717314.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/jspl-plunges-over-5-on-interest-payment-default/articleshow/54716954.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/sensex-closes-115-pts-lower-after-300-point-swing/articleshow/54716431.cms
0,HDFC,http://economictimes.indiatimes.com/markets/stocks/news/hdfc-plans-to-raise-rs-1500-crore-in-debt-to-augment-capital/articleshow/54716381.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/emerging-stocks-hit-one-week-high-on-upbeat-us-data/articleshow/54715993.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/adani-transmissions-acquisition-of-transmission-assets-from-rinfra-is-credit-negative-moodys/articleshow/54715821.cms
0,IDEA,http://economictimes.indiatimes.com/markets/stocks/news/top-ten-intraday-trading-ideas-for-afternoon-trade-for-thursday-6-october-2016/articleshow/54714691.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/top-ten-intraday-trading-ideas-for-afternoon-trade-for-thursday-6-october-2016/articleshow/54714691.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/tech-view-nifty50-forms-large-bear-candle-breaks-below-50-ema-1st-time/articleshow/54585642.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/european-shares-get-energy-boost-capita-slumps/articleshow/54585126.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/sensex-crashes-over-300-points-as-indian-army-claims-strike-on-pakistan-base/articleshow/54580105.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/use-dips-in-market-to-buy-into-leaders-of-tomorrow-10-midcaps-to-buy-on-dips/articleshow/54650941.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/hpcl-pidilite-among-stocks-likely-to-enter-msci-india/articleshow/54667517.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/six-important-triggers-that-changed-your-market-while-you-were-sleeping/articleshow/54667458.cms
